CTP1 CTP2 CTP3 CTP4 CTP5 BDp1_fin BDp2_fin BDp3_fin BDp4_fin BDp5_fin
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.448 954.942 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.448 954.942 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.449 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.448 954.942 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.449 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.448 954.942 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.449 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.447 954.942 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.449 954.944 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.447 954.941 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.449 954.944 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295443 756.445 954.938 1118.91 1242.24 7072.74 3437.86 2925.55 2575 2345.87
0.0295446 756.452 954.947 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.448 954.942 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.449 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295443 756.443 954.937 1118.91 1242.24 7072.74 3437.86 2925.55 2575 2345.87
0.0295446 756.453 954.949 1118.93 1242.26 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.448 954.942 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.449 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295443 756.445 954.938 1118.91 1242.24 7072.74 3437.86 2925.55 2575 2345.87
0.0295446 756.452 954.947 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.448 954.942 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295443 756.443 954.937 1118.91 1242.24 7072.74 3437.86 2925.55 2575 2345.87
0.0295446 756.453 954.949 1118.93 1242.26 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.448 954.942 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.449 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.029544 756.436 954.928 1118.9 1242.23 7072.74 3437.86 2925.55 2575 2345.87
0.0295449 756.46 954.958 1118.94 1242.27 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.447 954.941 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.449 954.944 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295436 756.427 954.917 1118.89 1242.21 7072.74 3437.86 2925.55 2575 2345.87
0.0295453 756.469 954.969 1118.95 1242.28 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.446 954.94 1118.92 1242.24 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.45 954.945 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.449 954.944 1118.92 1242.25 7072.75 3437.87 2925.56 2575.01 2345.87
0.0295444 756.447 954.942 1118.92 1242.25 7072.73 3437.86 2925.55 2575 2345.86
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.87 2925.55 2575 2345.87
0.0295444 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
