Bcru CTP1 CTP2 CTP3 CTP4 CTP5 BDp1_fin BDp2_fin BDp3_fin BDp4_fin BDp5_fin
30081.3 0.337993 5057.26 15956.8 11622.5 9918.39 60111.7 39371 19123.3 24999.9 27933.9
30110.1 0.338938 5071.41 16001.8 11655.2 9946.21 60195.1 39430.9 19159.5 25043.2 27980.7
30071.1 0.338781 5068.9 15992.5 11648.8 9940.94 60200.5 39429.7 19154.3 25038.8 27976.8
30049.6 0.338123 5058.9 15959.5 11625.3 9920.95 60155.1 39394.1 19131.8 25011.8 27947.9
30042.2 0.338431 5063.42 15973.1 11635.4 9929.66 60162.6 39391.4 19123.7 25004.6 27941.3
30014.5 0.338392 5062.66 15969.4 11633.1 9927.82 60185.5 39395.4 19115.2 24998.6 27937
30059.4 0.33923 5075.23 16009.2 11662 9952.51 60124.1 39347.7 19084.9 24962.7 27898.5
30046.2 0.338969 5071.37 15997.5 11653.4 9945.06 60165.1 39373.7 19096.5 24978.5 27916.3
30029.5 0.338986 5071.65 15998.6 11654.1 9945.67 60254.4 39430.3 19121.1 25012.3 27954.8
29990.1 0.338796 5068.78 15989.4 11647.4 9939.99 60268.2 39435.7 19118.9 25012.1 27955.7
29983.1 0.338958 5071.2 15997 11653 9944.72 60334 39478.4 19138.9 25038.7 27985.6
29970 0.339048 5072.48 16000.4 11655.7 9947.08 60370.2 39501.7 19150.1 25053.4 28002
29971.6 0.339288 5076.07 16011.7 11663.9 9954.12 60382.6 39509.6 19154.6 25058.7 28007.9
